,City,Country,Max Temp,Lat,Lng,Hotel Name
961,Touros,BR,75.38,-5.1989,-35.4608,Bugaendrus Paradise
965,Jacareacanga,BR,71.35,-6.2222,-57.7528,Zé Prata
966,Victoria,SC,78.06,-4.6167,55.45,Hilton Seychelles Northolme Resort & Spa
967,Centenario do sul,BR,63.16,-22.8211,-51.5953,Hotel Real Spin 2
969,Buraydah,SA,77.45,26.326,43.975,فندق راحة السلام
970,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
974,Ketchikan,US,63.07,55.3422,-131.6461,Super 8 by Wyndham Ketchikan
975,East london,ZA,61.0,-33.0153,27.9116,Woodleigh Guest Lodge
980,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
981,Ponta do sol,CV,73.18,17.1994,-25.0919,Sintanton Trekking i
987,Ponta do sol,PT,64.71,32.6667,-17.1,Enotel Sunset Bay
988,Victoria,SC,78.06,-4.6167,55.45,Hilton Seychelles Northolme Resort & Spa
991,Ribeira grande,PT,65.16,38.5167,-28.7,Casa da Japoneira
992,Vila franca do campo,PT,70.2,37.7167,-25.4333,Place of Moments
995,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
999,Axim,GH,76.82,4.8699,-2.2405,Axim Beach Resort & Spa
1002,Mahebourg,MU,71.89,-20.4081,57.7,Le Peninsula Bay Beach Resort & Spa
1003,Constitucion,MX,75.13,23.9912,-104.6749,Hotel White House
1006,Bubaque,GW,79.81,11.2833,-15.8333,Aparthotel Cruz Pontes
1011,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
1012,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
1016,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1018,Salcia,RO,64.4,44.1408,22.9278,Agropensiune Turistica Salcia
1020,San-pedro,CI,76.75,4.7485,-6.6363,La Case de Tiho
1024,Hermanus,ZA,62.02,-34.4187,19.2345,Harbour House Hotel
1030,Atuona,PF,78.48,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
1032,Saint george,BM,76.78,32.3817,-64.6781,Grotto Bay Beach Resort & Spa
1035,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
1036,Pacific grove,US,71.28,36.6177,-121.9166,"InterContinental the Clement Monterey, an IHG Hotel"
1037,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1043,Victoria,SC,78.06,-4.6167,55.45,Hilton Seychelles Northolme Resort & Spa
1044,Hasaki,JP,63.0,35.7333,140.8333,Gyōkeikan
1051,Jamestown,SH,64.02,-15.9387,-5.7168,Williams Estate
1052,Zivinice,BA,64.62,44.4494,18.6497,Sobe Prenociste
